#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	169604	170331	entA	16-743/747	===============	0/0	97.46	80.50	vfdb	NP_752614
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	170362	171212	entB	1-851/858	===============	0/0	99.18	80.49	vfdb	NP_752613
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	171239	172836	entE	1-1598/1611	========/======	4/4	99.07	79.81	vfdb	NP_752612
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	172846	174032	entC	2-1188/1188	========/======	4/4	99.75	77.97	vfdb	NP_752611
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	174382	175249	fepB	53-920/957	===============	0/0	90.70	77.53	vfdb	NP_752610
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	175367	176593	entS	1-1227/1251	===============	0/0	98.08	78.89	vfdb	NP_752609
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	176694	177703	fepD	3-1012/1017	===============	0/0	99.31	78.02	vfdb	NP_752608
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	177792	178700	fepG	85-993/993	.==============	0/0	91.54	80.53	vfdb	NP_752607
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	178697	179484	fepC	1-788/816	========/======	2/2	96.45	80.36	vfdb	NP_752606
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	186463	188718	fepA	1-2241/2241	========/======	16/55	99.11	78.16	vfdb	NP_752600
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	212913	213820	gtrB	1-908/930	===============	0/0	97.63	77.20	vfdb	NP_706258
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	220066	220584	fimF	1-519/519	===============	0/0	100.00	100.00	vfdb	NP_459543
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	220594	221601	fimH	1-1008/1008	===============	0/0	100.00	100.00	vfdb	NP_459542
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	221616	224228	fimD	1-2613/2613	===============	0/0	100.00	100.00	vfdb	NP_459541
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	224259	224951	fimC	1-693/693	===============	0/0	100.00	100.00	vfdb	NP_459540
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	224995	225528	fimI	1-534/534	===============	0/0	100.00	100.00	vfdb	NP_459539
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	289926	290077	pilW	217-368/921	...===.........	0/0	16.50	75.66	vfdb	YP_001007658
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000001.1	513278	513696	gmhA/lpcA	130-548/585	...============	0/0	71.62	77.80	vfdb	NP_439337
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	206	888	pipB2	1-683/1053	==========.....	0/0	64.86	100.00	vfdb	NP_461706
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	2629	3525	mig-14	1-897/897	===============	0/0	100.00	100.00	vfdb	NP_461708
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	82935	83843	avrA	1-909/909	===============	0/0	100.00	100.00	vfdb	NP_461786
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	86376	86828	orgC	1-453/453	===============	0/0	100.00	100.00	vfdb	NP_461789
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	86825	87505	orgB	1-681/681	===============	0/0	100.00	100.00	vfdb	NP_461790
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	87462	88061	orgA	1-600/600	===============	0/0	100.00	100.00	vfdb	NP_461791
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	88033	88791	prgK	1-759/759	===============	0/0	100.00	100.00	vfdb	NP_461792
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	88788	89093	prgJ	1-306/306	===============	0/0	100.00	99.67	vfdb	NP_461793
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	89112	89354	prgI	1-243/243	===============	0/0	100.00	100.00	vfdb	NP_461794
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	89379	90557	prgH	1-1179/1179	===============	0/0	100.00	100.00	vfdb	NP_461795
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	95108	96739	sptP	1-1632/1632	===============	0/0	100.00	100.00	vfdb	NP_461799
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	96726	97118	sicP	1-393/393	===============	0/0	100.00	100.00	vfdb	NP_461800
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	97716	99773	sipA/sspA	1-2058/2058	===============	0/0	100.00	100.00	vfdb	NP_461803
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	99792	100823	sipD	1-1032/1032	===============	0/0	100.00	100.00	vfdb	NP_461804
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	100894	102123	sipC/sspC	1-1230/1230	===============	0/0	100.00	100.00	vfdb	NP_461805
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	102151	103932	sipB/sspB	1-1782/1782	===============	0/0	100.00	99.94	vfdb	NP_461806
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	103935	104432	sicA	1-498/498	===============	0/0	100.00	100.00	vfdb	NP_461807
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	104570	105640	spaS	1-1071/1071	===============	0/0	100.00	100.00	vfdb	NP_461808
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	105627	106418	spaR	1-792/792	===============	0/0	100.00	100.00	vfdb	NP_461809
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	106422	106682	spaQ	1-261/261	===============	0/0	100.00	100.00	vfdb	NP_461810
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	106708	107382	spaP	1-675/675	===============	0/0	100.00	100.00	vfdb	NP_461811
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	107372	108283	spaO	1-912/912	===============	0/0	100.00	100.00	vfdb	NP_461812
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	108283	109293	invJ	1-1011/1011	===============	0/0	100.00	100.00	vfdb	NP_461813
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	109293	109736	invI	1-444/444	===============	0/0	100.00	100.00	vfdb	NP_461814
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	109714	111009	invC	1-1296/1296	===============	0/0	100.00	100.00	vfdb	NP_461815
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	111006	111413	invB	1-408/408	===============	0/0	100.00	100.00	vfdb	NP_461816
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	111437	113494	invA	1-2058/2058	===============	0/0	100.00	100.00	vfdb	NP_461817
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	113519	114637	invE	1-1119/1119	===============	0/0	100.00	99.91	vfdb	NP_461818
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	114634	116322	invG	1-1689/1689	===============	0/0	100.00	100.00	vfdb	NP_461819
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	116319	116969	invF	1-651/651	===============	0/0	100.00	100.00	vfdb	NP_461820
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	117426	117869	invH	1-444/444	===============	0/0	100.00	100.00	vfdb	NP_461821
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	160062	161015	sopD	1-954/954	===============	0/0	100.00	100.00	vfdb	NP_461866
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000002.1	483631	483767	cheD	1087-1223/1674	.........==....	0/0	8.18	78.10	vfdb	YP_001006778
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000003.1	26725	27422	gtrB	1-698/930	========/===...	6/10	74.52	76.10	vfdb	NP_706258
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000004.1	186667	187194	lpfE	1-528/528	===============	0/0	100.00	100.00	vfdb	NP_462537
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000004.1	187200	188269	lpfD	1-1080/1080	========/======	1/10	99.07	99.07	vfdb	NP_462538
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000004.1	188287	190815	lpfC	1-2529/2529	===============	0/0	100.00	99.96	vfdb	NP_462539
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000004.1	190838	191536	lpfB	1-699/699	===============	0/0	100.00	100.00	vfdb	NP_462540
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000004.1	191621	192157	lpfA	1-537/537	===============	0/0	100.00	100.00	vfdb	NP_462541
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000004.1	318932	321799	misL	1-2868/2868	===============	0/0	100.00	100.00	vfdb	NP_462656
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000004.1	325713	328439	mgtB	1-2727/2727	===============	0/0	100.00	99.93	vfdb	NP_462662
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000004.1	328659	329354	mgtC	1-696/696	===============	0/0	100.00	100.00	vfdb	NP_462663
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	150234	151292	ssaU	1-1059/1059	===============	0/0	100.00	99.91	vfdb	NP_460387
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	151289	152068	ssaT	1-780/780	===============	0/0	100.00	100.00	vfdb	NP_460386
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	152069	152335	ssaS	1-267/267	===============	0/0	100.00	100.00	vfdb	NP_460385
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	152332	152979	ssaR	1-648/648	===============	0/0	100.00	100.00	vfdb	NP_460384
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	153047	154015	ssaQ	1-969/969	===============	0/0	100.00	100.00	vfdb	NP_460383
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	153996	154370	ssaP	1-375/375	===============	0/0	100.00	100.00	vfdb	NP_460382
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	154351	154728	ssaO	1-378/378	===============	0/0	100.00	100.00	vfdb	NP_460381
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	154731	156032	ssaN	1-1302/1302	===============	0/0	100.00	100.00	vfdb	NP_460380
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	156022	158067	ssaV	1-2046/2046	===============	0/0	100.00	100.00	vfdb	NP_460379
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	158052	158420	ssaM	1-369/369	===============	0/0	100.00	100.00	vfdb	NP_460378
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	158478	159494	ssaL	1-1017/1017	===============	0/0	100.00	99.90	vfdb	NP_460377
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	159460	160134	ssaK	1-675/675	===============	0/0	100.00	99.85	vfdb	NP_460376
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	160697	161446	ssaJ	1-750/750	===============	0/0	100.00	100.00	vfdb	NP_460374
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	161443	161691	ssaI	1-249/249	===============	0/0	100.00	100.00	vfdb	NP_460373
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	161703	161930	ssaH	1-228/228	===============	0/0	100.00	100.00	vfdb	NP_460372
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	161971	162186	ssaG	1-216/216	===============	0/0	100.00	100.00	vfdb	NP_460371
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	162280	162969	sseG	1-690/690	===============	0/0	100.00	100.00	vfdb	NP_460370
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	162966	163748	sseF	1-783/783	===============	0/0	100.00	100.00	vfdb	NP_460369
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	163764	164198	sscB	1-435/435	===============	0/0	100.00	100.00	vfdb	NP_460368
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	164250	164666	sseE	1-417/417	===============	0/0	100.00	100.00	vfdb	NP_460367
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	164669	165256	sseD	1-588/588	===============	0/0	100.00	100.00	vfdb	NP_460366
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	165272	166726	sseC	1-1455/1455	===============	0/0	100.00	99.93	vfdb	NP_460365
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	166729	167202	sscA	1-474/474	===============	0/0	100.00	99.79	vfdb	NP_460364
/scratch/mnk5428/kenyans/data/GCA_019362395.1_ASM1936239v1_genomic.fna	JAAIAT010000005.1	167199	167789	sseB	1-591/591	===============	0/0	100.00	100.00	vfdb	NP_460363
