#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000015.1	19728	20370	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000015.1	35431	35692	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000015.1	35443	35736	IncFIC(FII)_1	9-297/499	========/=.....	5/7	57.72	81.69	plasmidfinder	AP001918
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000026.1	17846	18295	IncQ1_1	1-450/450	===============	0/0	100.00	100.00	plasmidfinder	HE654726
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000168.1	148	254	ColRNAI_1	25-130/130	..======/======	1/1	81.54	86.92	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000190.1	162	254	ColRNAI_1	39-130/130	....====/======	1/1	70.77	86.02	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000193.1	33	163	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000204.1	102	232	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000210.1	137	248	ColRNAI_1	1-112/130	=============..	0/0	86.15	85.71	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000225.1	81	211	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000231.1	161	254	ColRNAI_1	38-130/130	....====/======	1/1	71.54	86.17	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000253.1	149	254	ColRNAI_1	26-130/130	..======/======	1/1	80.77	86.79	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000257.1	137	248	ColRNAI_1	1-112/130	=============..	0/0	86.15	85.71	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000267.1	73	203	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000316.1	43	173	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000344.1	128	247	ColRNAI_1	12-130/130	.=======/======	1/1	91.54	86.67	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000365.1	167	252	ColRNAI_1	46-130/130	....====/======	1/1	65.38	87.21	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363895.1_ASM1936389v1_genomic.fna	JAAIEY010000376.1	147	252	ColRNAI_1	26-130/130	..======/======	1/1	80.77	86.79	plasmidfinder	DQ298019
