#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000001.1	78672	80044	patA	1-1373/1380	===============	0/0	99.49	84.12	card	NC_000913.3:3219494-3220874
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000001.1	124541	125359	bacA	5-823/823	========/======	2/2	99.39	85.61	card	U00096:3203310-3204132
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000001.1	145909	147365	tolC	1-1466/1488	========/======	2/9	97.92	81.65	card	FJ768952:1-1489
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000001.1	529684	531222	emrB	1-1539/1540	===============	0/0	99.94	84.15	card	U00096:2812616-2814155
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000001.1	531238	532411	emrA	1-1174/1174	========/======	2/2	99.91	82.38	card	AP009048:2810083-2811256
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000001.1	532538	533068	emrR	1-531/531	===============	0/0	100.00	85.69	card	NC_000913.3:2810770-2811301
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000001.1	582315	582520	Escherichia_coli_emrE	1-206/1244	===............	0/0	16.56	87.86	card	Z11877.1:1-1245
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000002.1	67605	68019	H-NS	1-415/415	===============	0/0	100.00	88.92	card	NC_002695:1737554-1737968
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000002.1	207505	207943	AAC(6')-Iaa	1-439/439	===============	0/0	100.00	100.00	card	NC_003197:1707358-1707796
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000002.1	313837	314186	marA	1-350/385	==============.	0/0	90.91	89.14	card	NC_007779:1621288-1621672
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000003.1	115393	115597	Escherichia_coli_emrE	1-205/1244	===............	0/0	16.48	87.81	card	Z11877.1:1-1245
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000003.1	138716	140174	mdsC	1-1459/1459	===============	0/0	100.00	100.00	card	NC_003197:392419-393877
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000003.1	140190	143358	mdsB	1-3169/3169	===============	0/0	100.00	100.00	card	NC_003197:393893-397061
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000003.1	143354	144560	mdsA	1-1207/1207	===============	0/0	100.00	100.00	card	NC_003197:397057-398263
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000003.1	147157	147622	golS	1-466/466	===============	0/0	100.00	100.00	card	NC_003197:400860-401325
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000003.1	275563	278694	acrB	1-3132/3150	========/======	2/2	99.40	85.76	card	NC_000913.3:481254-484404
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000003.1	278717	279910	Escherichia_coli_acrA	1-1194/1194	===============	0/0	100.00	83.42	card	NC_000913.3:484426-485620
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000003.1	383606	383960	ramA	21-375/375	===============	0/0	94.67	79.44	card	JQ727668:1-376
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000003.1	510948	511620	kdpE	1-673/678	========/======	2/2	99.12	81.45	card	NC_000913.3:721056-721734
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000004.1	63860	65412	YojI	91-1643/1644	========/======	2/2	94.40	83.33	card	NC_000913.3:1-1645
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000004.1	79400	80269	robA	1-870/870	===============	0/0	100.00	76.67	card	JQ727667:1-871
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000004.1	149663	150855	mdtM	17-1209/1234	===============	0/0	96.68	78.46	card	U00096:4567287-4568520
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000004.1	386314	387957	PmrC	1-1644/1645	========/======	2/4	99.82	76.91	card	AP009048:4338625-4340269
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000005.1	363858	365043	emrD	6-1191/1191	========/======	2/2	99.50	83.40	card	GG749185.1:116813-118004
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000006.1	88307	89731	mdtK	1-1425/1425	===============	0/0	100.00	99.93	card	CP014358.1:2161326-2162751
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000006.1	151888	153055	PmrE	1-1168/1168	========/======	4/4	99.83	76.50	card	U00096:2098447-2099614
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000006.1	208215	209457	mdtA	1-1249/1249	========/======	6/10	99.36	76.18	card	U00096:2154016-2155264
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000006.1	209456	212577	mdtB	1-3122/3124	===============	0/0	99.94	81.29	card	U00096:2155263-2158386
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000006.1	212585	215632	mdtC	7-3054/3079	===============	0/0	98.99	81.56	card	U00096:2158386-2161464
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000006.1	215656	217072	mdtD	1-1417/1417	===============	0/0	100.00	79.11	card	U00096:2161464-2162880
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000006.1	217068	218472	baeS	1-1405/1405	========/======	2/2	99.93	78.95	card	AP009048:2165013-2166417
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000006.1	218468	219189	baeR	1-722/724	===============	0/0	99.72	81.72	card	NC_007779:2166413-2167136
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000007.1	51578	52519	PmrF	1-942/970	===============	0/0	97.11	78.98	card	U00096:2367071-2368040
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000008.1	153762	154663	leuO	44-945/945	===============	0/0	95.45	80.16	card	NC_000913.3:84368-85313
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000009.1	99480	100676	mdtG	26-1228/1228	========/======	2/6	97.48	76.97	card	NC_007779:1115841-1117068
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000009.1	109276	110485	mdtH	1-1210/1210	========/======	2/6	99.75	78.89	card	U00096:1124118-1125327
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000009.1	157110	160556	mfd	1-3447/3447	========/======	2/2	99.97	83.00	card	NC_000913.3:1170518-1173965
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000010.1	81449	82816	cpxA	8-1375/1375	===============	0/0	99.49	85.09	card	NC_002695:4903562-4904936
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000011.1	3689	3829	macB	1579-1719/1935	............==.	0/0	7.29	79.43	card	AY768532:1-1936
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000011.1	42694	43912	mdfA	1-1219/1233	===============	0/0	98.86	78.51	card	JQ394987:1-1234
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000013.1	114886	115609	sdiA	1-724/724	===============	0/0	100.00	100.00	card	NC_003197:2039658-2040381
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000017.1	28631	30379	msbA	1-1749/1749	===============	0/0	100.00	84.85	card	NC_000913.3:966621-968370
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000018.1	18871	19504	CRP	1-634/634	===============	0/0	100.00	87.86	card	AP009048:4153664-4154297
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000020.1	39947	41087	acrE	1-1141/1159	===============	0/0	98.45	77.48	card	U00096:3413864-3415022
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000020.1	41116	44195	acrF	1-3080/3106	========/======	3/6	99.07	78.98	card	U00096:3415033-3418138
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000022.1	13838	16952	acrD	1-3115/3115	========/======	2/2	99.97	81.80	card	NC_007779:2586251-2589365
/scratch/mnk5428/kenyans/data/GCA_019361505.1_ASM1936150v1_genomic.fna	JAAHZF010000026.1	3311	3971	catI	1-661/661	===============	0/0	100.00	99.85	card	V00622:244-904
