#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000001.1	288799	289236	(AGly)Aac6-Iy	1-438/438	===============	0/0	100.00	96.80	argannot	AF144880:3452-3979
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000006.1	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000006.1	252183	253340	(Bla)AMPH_Ecoli	1-1158/1158	===============	0/0	100.00	80.05	argannot	AP012030:395554-396711
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000012.1	12491	14392	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	83.49	argannot	CP002291:664439-666340
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000022.1	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000022.1	14510	14617	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000023.1	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000023.1	1990	2805	(Sul)SulII	1-816/816	===============	0/0	100.00	99.75	argannot	EU360945:1617-2432
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000023.1	2866	3669	(AGly)StrA	1-804/804	===============	0/0	100.00	100.00	argannot	AB366441:22458-23261
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000023.1	3669	4505	(AGly)StrB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000023.1	7075	7935	(Bla)TEM-105	1-861/861	===============	0/0	100.00	99.88	argannot	AF516720:215-1075
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000023.1	10310	10417	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000024.1	19	126	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000024.1	829	1479	(Tet)TetR	1-651/651	===============	0/0	100.00	100.00	argannot	HF545434:53576-54226
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000024.1	1510	2784	(Tet)TetA	1-1275/1275	===============	0/0	100.00	100.00	argannot	JX424423:94438-95712
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000024.1	7845	7951	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000026.1	6389	6498	(Phe)CatB4	440-549/549	............===	0/0	20.04	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000028.1	4762	4869	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000030.1	20	126	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000030.1	308	1147	(Sul)SulI	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000030.1	1718	2191	(Tmt)dhfr7	1-474/474	===============	0/0	100.00	100.00	argannot	X58425:594-1067
/scratch/mnk5428/kenyans/data/GCA_019363595.1_ASM1936359v1_genomic.fna	JAAICZ010000030.1	2209	2266	(AGly)Aac3-Ib	1-58/531	==.............	0/0	10.92	100.00	argannot	L06157:555-1085
