#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019364075.1_ASM1936407v1_genomic.fna	JAAIDX010000001.1	26725	27422	gtrB	1-698/930	========/===...	6/10	74.52	76.10	vfdb	NP_706258
/scratch/mnk5428/kenyans/data/GCA_019364075.1_ASM1936407v1_genomic.fna	JAAIDX010000002.1	78009	78220	fliC	890-1101/1101	............===	0/0	19.26	78.77	vfdb	YP_001006729
/scratch/mnk5428/kenyans/data/GCA_019364075.1_ASM1936407v1_genomic.fna	JAAIDX010000002.1	79120	79520	fliC	7-407/1146	======.........	0/0	34.99	80.55	vfdb	YP_001006728
/scratch/mnk5428/kenyans/data/GCA_019364075.1_ASM1936407v1_genomic.fna	JAAIDX010000002.1	81141	82256	iroB	34-1149/1164	===============	0/0	95.88	78.23	vfdb	NP_753168
/scratch/mnk5428/kenyans/data/GCA_019364075.1_ASM1936407v1_genomic.fna	JAAIDX010000002.1	82342	85969	iroC	69-3687/3738	========/======	16/31	96.52	75.93	vfdb	NP_753167
/scratch/mnk5428/kenyans/data/GCA_019364075.1_ASM1936407v1_genomic.fna	JAAIDX010000002.1	88368	90542	iroN	1-2178/2178	========/======	5/7	99.77	77.20	vfdb	NP_753164
/scratch/mnk5428/kenyans/data/GCA_019364075.1_ASM1936407v1_genomic.fna	JAAIDX010000002.1	91581	92633	pipB2	1-1053/1053	===============	0/0	100.00	100.00	vfdb	NP_461706
/scratch/mnk5428/kenyans/data/GCA_019364075.1_ASM1936407v1_genomic.fna	JAAIDX010000002.1	94374	95270	mig-14	1-897/897	===============	0/0	100.00	100.00	vfdb	NP_461708
/scratch/mnk5428/kenyans/data/GCA_019364075.1_ASM1936407v1_genomic.fna	JAAIDX010000002.1	174680	175588	avrA	1-909/909	===============	0/0	100.00	100.00	vfdb	NP_461786
/scratch/mnk5428/kenyans/data/GCA_019364075.1_ASM1936407v1_genomic.fna	JAAIDX010000002.1	178121	178573	orgC	1-453/453	===============	0/0	100.00	100.00	vfdb	NP_461789
/scratch/mnk5428/kenyans/data/GCA_019364075.1_ASM1936407v1_genomic.fna	JAAIDX010000002.1	178570	179250	orgB	1-681/681	===============	0/0	100.00	100.00	vfdb	NP_461790
