#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000009.1	84595	85224	IncHI2A_1	1-630/630	===============	0/0	100.00	100.00	plasmidfinder	BX664015
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000009.1	98878	99472	TrfA_1	2-596/596	========/======	2/2	99.66	80.37	plasmidfinder	CP11611
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000009.1	100090	100416	IncHI2_1	1-327/327	===============	0/0	100.00	100.00	plasmidfinder	BX664015
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000017.1	58318	58611	IncFIC(FII)_1	9-297/499	========/=.....	5/7	57.72	81.69	plasmidfinder	AP001918
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000017.1	58362	58623	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000017.1	73684	74326	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000036.1	201	650	IncQ1_1	1-450/450	===============	0/0	100.00	100.00	plasmidfinder	HE654726
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000051.1	476	606	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000077.1	158	267	ColRNAI_1	21-129/130	..======/======	1/1	83.85	80.91	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000196.1	1	93	ColRNAI_1	39-130/130	....====/======	1/1	70.77	86.02	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000204.1	102	232	ColRNAI_1	1-130/130	========/======	1/1	100.00	83.97	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000244.1	137	248	ColRNAI_1	1-112/130	=============..	0/0	86.15	85.71	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000245.1	7	118	ColRNAI_1	1-112/130	=============..	0/0	86.15	81.25	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000266.1	43	173	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000272.1	66	195	ColRNAI_1	1-130/130	========/======	2/2	99.23	83.97	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000288.1	155	253	ColRNAI_1	1-99/130	============...	0/0	76.15	83.84	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000392.1	75	205	ColRNAI_1	1-130/130	========/======	1/1	100.00	83.97	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000393.1	43	173	ColRNAI_1	1-130/130	========/======	1/1	100.00	84.73	plasmidfinder	DQ298019
/scratch/mnk5428/kenyans/data/GCA_019363815.1_ASM1936381v1_genomic.fna	JAAIEX010000397.1	75	204	ColRNAI_1	1-130/130	========/======	2/2	99.23	83.97	plasmidfinder	DQ298019
