#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000001.1	719183	719880	gtrB	1-698/930	========/===...	6/10	74.52	76.10	vfdb	NP_706258
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	78009	78220	fliC	890-1101/1101	............===	0/0	19.26	78.77	vfdb	YP_001006729
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	79120	79520	fliC	7-407/1146	======.........	0/0	34.99	80.55	vfdb	YP_001006728
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	81141	82256	iroB	34-1149/1164	===============	0/0	95.88	78.23	vfdb	NP_753168
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	82342	85969	iroC	69-3687/3738	========/======	16/31	96.52	75.93	vfdb	NP_753167
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	88368	90542	iroN	1-2178/2178	========/======	5/7	99.77	77.20	vfdb	NP_753164
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	91581	92633	pipB2	1-1053/1053	===============	0/0	100.00	100.00	vfdb	NP_461706
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	94374	95270	mig-14	1-897/897	===============	0/0	100.00	100.00	vfdb	NP_461708
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	174680	175588	avrA	1-909/909	===============	0/0	100.00	100.00	vfdb	NP_461786
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	178121	178573	orgC	1-453/453	===============	0/0	100.00	100.00	vfdb	NP_461789
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	178570	179250	orgB	1-681/681	===============	0/0	100.00	100.00	vfdb	NP_461790
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	179207	179806	orgA	1-600/600	===============	0/0	100.00	100.00	vfdb	NP_461791
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	179778	180536	prgK	1-759/759	===============	0/0	100.00	100.00	vfdb	NP_461792
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	180533	180838	prgJ	1-306/306	===============	0/0	100.00	99.67	vfdb	NP_461793
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	180857	181099	prgI	1-243/243	===============	0/0	100.00	100.00	vfdb	NP_461794
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	181124	182302	prgH	1-1179/1179	===============	0/0	100.00	100.00	vfdb	NP_461795
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	186853	188484	sptP	1-1632/1632	===============	0/0	100.00	100.00	vfdb	NP_461799
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	188471	188863	sicP	1-393/393	===============	0/0	100.00	100.00	vfdb	NP_461800
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	189461	191518	sipA/sspA	1-2058/2058	===============	0/0	100.00	100.00	vfdb	NP_461803
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	191537	192568	sipD	1-1032/1032	===============	0/0	100.00	100.00	vfdb	NP_461804
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	192639	193868	sipC/sspC	1-1230/1230	===============	0/0	100.00	100.00	vfdb	NP_461805
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	193896	195677	sipB/sspB	1-1782/1782	===============	0/0	100.00	99.94	vfdb	NP_461806
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	195680	196177	sicA	1-498/498	===============	0/0	100.00	100.00	vfdb	NP_461807
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	196315	197385	spaS	1-1071/1071	===============	0/0	100.00	100.00	vfdb	NP_461808
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	197372	198163	spaR	1-792/792	===============	0/0	100.00	100.00	vfdb	NP_461809
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	198167	198427	spaQ	1-261/261	===============	0/0	100.00	100.00	vfdb	NP_461810
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	198453	199127	spaP	1-675/675	===============	0/0	100.00	100.00	vfdb	NP_461811
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	199117	200028	spaO	1-912/912	===============	0/0	100.00	100.00	vfdb	NP_461812
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	200028	201038	invJ	1-1011/1011	===============	0/0	100.00	100.00	vfdb	NP_461813
/scratch/mnk5428/kenyans/data/GCA_019364025.1_ASM1936402v1_genomic.fna	JAAIDT010000002.1	201038	201481	invI	1-444/444	===============	0/0	100.00	100.00	vfdb	NP_461814
