#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019361395.1_ASM1936139v1_genomic.fna	JAAHZB010000001.1	718814	719511	gtrB	1-698/930	========/===...	6/10	74.52	76.10	vfdb	NP_706258
/scratch/mnk5428/kenyans/data/GCA_019361395.1_ASM1936139v1_genomic.fna	JAAHZB010000002.1	123773	125146	steC	1-1374/1374	===============	0/0	100.00	99.93	vfdb	NP_460656
/scratch/mnk5428/kenyans/data/GCA_019361395.1_ASM1936139v1_genomic.fna	JAAHZB010000002.1	192784	194010	sseJ	1-1227/1227	===============	0/0	100.00	100.00	vfdb	NP_460590
/scratch/mnk5428/kenyans/data/GCA_019361395.1_ASM1936139v1_genomic.fna	JAAHZB010000002.1	195281	195682	steB	1-402/402	===============	0/0	100.00	100.00	vfdb	AAL20547
/scratch/mnk5428/kenyans/data/GCA_019361395.1_ASM1936139v1_genomic.fna	JAAHZB010000002.1	222172	223122	sifB	1-951/951	===============	0/0	100.00	100.00	vfdb	NP_460561
/scratch/mnk5428/kenyans/data/GCA_019361395.1_ASM1936139v1_genomic.fna	JAAHZB010000002.1	245167	245799	steA	1-633/633	===============	0/0	100.00	100.00	vfdb	NP_460542
/scratch/mnk5428/kenyans/data/GCA_019361395.1_ASM1936139v1_genomic.fna	JAAHZB010000002.1	409817	410875	ssaU	1-1059/1059	===============	0/0	100.00	99.91	vfdb	NP_460387
/scratch/mnk5428/kenyans/data/GCA_019361395.1_ASM1936139v1_genomic.fna	JAAHZB010000002.1	410872	411651	ssaT	1-780/780	===============	0/0	100.00	100.00	vfdb	NP_460386
/scratch/mnk5428/kenyans/data/GCA_019361395.1_ASM1936139v1_genomic.fna	JAAHZB010000002.1	411652	411918	ssaS	1-267/267	===============	0/0	100.00	100.00	vfdb	NP_460385
/scratch/mnk5428/kenyans/data/GCA_019361395.1_ASM1936139v1_genomic.fna	JAAHZB010000002.1	411915	412562	ssaR	1-648/648	===============	0/0	100.00	100.00	vfdb	NP_460384
/scratch/mnk5428/kenyans/data/GCA_019361395.1_ASM1936139v1_genomic.fna	JAAHZB010000002.1	412630	413598	ssaQ	1-969/969	===============	0/0	100.00	100.00	vfdb	NP_460383
