#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000001.1	288853	289290	(AGly)Aac6-Iy	1-438/438	===============	0/0	100.00	96.80	argannot	AF144880:3452-3979
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000006.1	21	132	(Phe)CatB4	438-549/549	...........====	0/0	20.40	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000006.1	252200	253357	(Bla)AMPH_Ecoli	1-1158/1158	===============	0/0	100.00	80.05	argannot	AP012030:395554-396711
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000013.1	113859	115760	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	83.49	argannot	CP002291:664439-666340
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000019.1	20	127	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000019.1	14510	14616	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000020.1	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000020.1	1990	2805	(Sul)SulII	1-816/816	===============	0/0	100.00	99.75	argannot	EU360945:1617-2432
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000020.1	2866	3669	(AGly)StrA	1-804/804	===============	0/0	100.00	100.00	argannot	AB366441:22458-23261
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000020.1	3669	4505	(AGly)StrB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000020.1	7075	7935	(Bla)TEM-105	1-861/861	===============	0/0	100.00	99.88	argannot	AF516720:215-1075
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000021.1	21	127	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000021.1	5188	6462	(Tet)TetA	1-1275/1275	===============	0/0	100.00	100.00	argannot	JX424423:94438-95712
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000021.1	6493	7143	(Tet)TetR	1-651/651	===============	0/0	100.00	100.00	argannot	HF545434:53576-54226
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000021.1	7846	7953	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000024.1	19	126	(Phe)CatB4	442-549/549	............===	0/0	19.67	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000025.1	20	126	(Phe)CatB4	443-549/549	............===	0/0	19.49	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000026.1	19	127	(Phe)CatB4	441-549/549	............===	0/0	19.85	100.00	argannot	EU935739:59054-59602
/scratch/mnk5428/kenyans/data/GCA_019361625.1_ASM1936162v1_genomic.fna	JAAHZJ010000026.1	1921	1978	(AGly)Aac3-Ib	1-58/531	==.............	0/0	10.92	100.00	argannot	L06157:555-1085
