#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000002.1	310394	310831	(AGly)Aac6-Iaa	1-438/438	===============	0/0	100.00	100.00	argannot	NC_003197:1707358-1707795
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000004.1	234273	236174	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	83.18	argannot	CP002291:664439-666340
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000011.1	131469	132626	(Bla)AMPH_Ecoli	1-1158/1158	===============	0/0	100.00	80.05	argannot	AP012030:395554-396711
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000028.1	1	151	(Tet)TetR	501-651/651	...........====	0/0	23.20	100.00	argannot	HF545434:53576-54226
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000028.1	343	993	(Tet)TetR	1-651/651	===============	0/0	100.00	100.00	argannot	HF545434:53576-54226
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000028.1	1024	2270	(Tet)TetA	1-1247/1275	===============	0/0	97.80	100.00	argannot	JX424423:94438-95712
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000028.1	5649	6464	(Sul)SulII	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000028.1	6525	7328	(AGly)StrA	1-804/804	===============	0/0	100.00	99.88	argannot	AB366441:22458-23261
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000028.1	7328	8164	(AGly)StrB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000049.1	1	418	(AGly)StrA	116-533/804	..========.....	0/0	51.99	98.56	argannot	AB366441:22458-23261
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000054.1	1	320	(AGly)StrA	484-803/804	.........======	0/0	39.80	95.62	argannot	AB366441:22458-23261
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000054.1	322	392	(AGly)StrB	2-72/837	==.............	0/0	8.48	94.37	argannot	FJ474091:264-1100
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000058.1	6	247	(AGly)StrA	1-242/804	=====..........	0/0	30.10	96.69	argannot	AB366441:22458-23261
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000058.1	308	389	(Sul)SulII	735-816/816	.............==	0/0	10.05	100.00	argannot	EU360945:1617-2432
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000083.1	1	127	(Tet)TetR	327-453/651	.......====....	0/0	19.51	100.00	argannot	HF545434:53576-54226
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000083.1	122	248	(Tet)TetR	342-468/651	.......====....	0/0	19.51	100.00	argannot	HF545434:53576-54226
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000084.1	1	127	(Tet)TetR	465-591/651	..........====.	0/0	19.51	100.00	argannot	HF545434:53576-54226
/scratch/mnk5428/kenyans/data/GCA_019361855.1_ASM1936185v1_genomic.fna	JAAHZV010000084.1	116	247	(Tet)TetR	496-627/651	...........====	0/0	20.28	99.24	argannot	HF545434:53576-54226
